#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.3546 3.5402 1.8000 0.5179 0.337
  2 1.090100e+05 3.3732 3.5379 1.8000 0.5192 0.337
  3 2.234970e+05 3.3941 3.5358 1.8000 0.5206 0.337
  4 3.437790e+05 3.4171 3.5335 1.8000 0.5223 0.337
  5 4.699840e+05 3.4423 3.5306 1.8000 0.5243 0.337
  6 6.019420e+05 3.4694 3.5277 1.8000 0.5267 0.337
  7 7.390900e+05 3.4982 3.5246 1.8000 0.5294 0.337
  8 8.804200e+05 3.5284 3.5211 1.8000 0.5326 0.337
  9 1.024500e+06 3.5594 3.5177 1.8000 0.5362 0.337
 10 1.169610e+06 3.5907 3.5140 1.7999 0.5402 0.337
 11 1.313930e+06 3.6217 3.5102 1.7998 0.5447 0.337
 12 1.455750e+06 3.6521 3.5066 1.7995 0.5496 0.337
 13 1.593680e+06 3.6813 3.5033 1.7990 0.5549 0.337
 14 1.726670e+06 3.7092 3.4999 1.7979 0.5604 0.337
 15 1.854070e+06 3.7355 3.4964 1.7959 0.5662 0.337
 16 1.975530e+06 3.7604 3.4931 1.7921 0.5722 0.337
 17 2.090930e+06 3.7837 3.4903 1.7851 0.5784 0.337
 18 2.200320e+06 3.8055 3.4870 1.7725 0.5846 0.337
 19 2.303880e+06 3.8260 3.4833 1.7488 0.5910 0.337
 20 2.401840e+06 3.8452 3.4784 1.6999 0.5973 0.337
 21 2.494520e+06 3.8631 3.4681 1.5387 0.6036 0.337
