#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.6007 3.5398 2.5000 0.5533 0.344
  2 7.831370e+04 3.6187 3.5380 2.5000 0.5552 0.344
  3 1.629520e+05 3.6397 3.5357 2.5000 0.5575 0.344
  4 2.540810e+05 3.6630 3.5330 2.5000 0.5604 0.344
  5 3.512240e+05 3.6883 3.5304 2.5000 0.5639 0.344
  6 4.531070e+05 3.7149 3.5275 2.5000 0.5680 0.344
  7 5.577690e+05 3.7419 3.5244 2.5000 0.5727 0.344
  8 6.629440e+05 3.7684 3.5216 2.4999 0.5779 0.344
  9 7.665460e+05 3.7937 3.5185 2.4999 0.5836 0.344
 10 8.669970e+05 3.8176 3.5160 2.4998 0.5896 0.344
 11 9.633080e+05 3.8398 3.5132 2.4996 0.5959 0.344
 12 1.054990e+06 3.8604 3.5111 2.4994 0.6023 0.344
 13 1.141880e+06 3.8795 3.5085 2.4990 0.6088 0.344
 14 1.224050e+06 3.8972 3.5067 2.4984 0.6152 0.344
 15 1.301670e+06 3.9137 3.5049 2.4975 0.6217 0.344
 16 1.374980e+06 3.9291 3.5028 2.4963 0.6281 0.367
 17 1.444230e+06 3.9413 3.5013 2.4946 0.6333 0.405
 18 1.511100e+06 3.9513 3.4997 2.4924 0.6376 0.456
 19 1.576900e+06 3.9599 3.4982 2.4896 0.6414 0.515
 20 1.642130e+06 3.9674 3.4966 2.4861 0.6448 0.582
 21 1.706890e+06 3.9741 3.4955 2.4818 0.6478 0.653
 22 1.771160e+06 3.9802 3.4939 2.4763 0.6507 0.729
 23 1.834840e+06 3.9857 3.4927 2.4697 0.6533 0.806
 24 1.897790e+06 3.9908 3.4915 2.4617 0.6558 0.886
 25 1.959930e+06 3.9956 3.4900 2.4519 0.6582 0.966
 26 2.021180e+06 4.0001 3.4882 2.4474 0.6605 1.045
 27 2.081430e+06 4.0045 3.4396 2.4455 0.6628 1.125
 28 2.140700e+06 4.0087 3.4282 2.4424 0.6650 1.204
 29 2.198990e+06 4.0128 3.4209 2.4007 0.6672 1.282
 30 2.256330e+06 4.0169 3.4132 2.3203 0.6694 1.358
 31 2.312270e+06 4.0214 3.4029 2.1850 0.6719 1.431
 32 2.366340e+06 4.0264 3.3839 1.9160 0.6747 1.493
