#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 4.2129 3.6310 2.5000 0.8316 0.305
  2 8.903120e+03 4.1892 3.6330 2.5000 0.8330 1.661
  3 2.515900e+04 4.1912 3.6270 2.5000 0.8343 4.734
  4 4.349860e+04 4.1922 3.6133 2.4999 0.8350 7.769
  5 6.242910e+04 4.1927 3.5998 2.4992 0.8353 10.194
  6 8.160770e+04 4.1931 3.5883 2.4972 0.8355 12.039
  7 1.009310e+05 4.1933 3.5791 2.4931 0.8357 13.435
  8 1.203550e+05 4.1935 3.5713 2.4869 0.8358 14.505
  9 1.398570e+05 4.1937 3.5643 2.4785 0.8359 15.331
 10 1.594170e+05 4.1937 3.5584 2.4681 0.8360 15.984
 11 1.790270e+05 4.1938 3.5532 2.4559 0.8360 16.508
 12 1.986830e+05 4.1938 3.5485 2.4419 0.8360 16.936
 13 2.183850e+05 4.1939 3.5442 2.4264 0.8361 17.293
 14 2.381370e+05 4.1939 3.5399 2.4095 0.8361 17.595
 15 2.579430e+05 4.1940 3.5363 2.3913 0.8361 17.852
 16 2.778050e+05 4.1940 3.5328 2.3719 0.8362 18.074
 17 2.977260e+05 4.1941 3.5293 2.3513 0.8362 18.267
 18 3.177090e+05 4.1941 3.5260 2.3297 0.8362 18.436
 19 3.377560e+05 4.1942 3.5226 2.3071 0.8363 18.584
 20 3.578700e+05 4.1942 3.5197 2.2834 0.8363 18.716
 21 3.780520e+05 4.1943 3.5165 2.2588 0.8363 18.832
 22 3.983050e+05 4.1943 3.5136 2.2334 0.8364 18.936
 23 4.186300e+05 4.1944 3.5107 2.2070 0.8364 19.029
 24 4.390290e+05 4.1944 3.5078 2.1798 0.8364 19.112
 25 4.595030e+05 4.1945 3.5049 2.1517 0.8365 19.186
 26 4.800540e+05 4.1945 3.5019 2.1229 0.8365 19.253
 27 5.006830e+05 4.1946 3.4990 2.0932 0.8365 19.313
 28 5.213910e+05 4.1946 3.4964 2.0627 0.8366 19.367
 29 5.421790e+05 4.1947 3.4933 2.0314 0.8366 19.414
 30 5.630480e+05 4.1948 3.4906 1.9993 0.8367 19.457
 31 5.839990e+05 4.1948 3.4878 1.9665 0.8367 19.495
 32 6.050340e+05 4.1949 3.4850 1.9329 0.8367 19.528
 33 6.261520e+05 4.1950 3.4821 1.8985 0.8368 19.558
 34 6.473540e+05 4.1951 3.4796 1.8634 0.8368 19.582
 35 6.686420e+05 4.1951 3.4765 1.8275 0.8369 19.605
 36 6.900150e+05 4.1952 3.4739 1.7909 0.8369 19.621
