#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 4.1734 3.5728 2.0000 0.7920 0.298
  2 1.323410e+04 4.1712 3.5730 1.9997 0.7938 0.556
  3 3.675940e+04 4.1735 3.5699 1.9992 0.7954 1.198
  4 6.291700e+04 4.1745 3.5511 1.9991 0.7960 1.998
  5 8.983290e+04 4.1751 3.5299 1.9988 0.7964 2.844
  6 1.170910e+05 4.1755 3.5181 1.9983 0.7966 3.689
  7 1.445590e+05 4.1757 3.5091 1.9973 0.7968 4.508
  8 1.721710e+05 4.1760 3.5023 1.9958 0.7970 5.288
  9 1.998890e+05 4.1761 3.4966 1.9935 0.7971 6.022
 10 2.276850e+05 4.1763 3.4917 1.9903 0.7972 6.709
 11 2.555460e+05 4.1764 3.4873 1.9862 0.7973 7.351
 12 2.834600e+05 4.1765 3.4835 1.9809 0.7973 7.948
 13 3.114220e+05 4.1766 3.4799 1.9745 0.7974 8.506
 14 3.394290e+05 4.1767 3.4767 1.9668 0.7975 9.026
 15 3.674790e+05 4.1768 3.4736 1.9579 0.7975 9.513
 16 3.955700e+05 4.1769 3.4710 1.9477 0.7976 9.969
 17 4.237000e+05 4.1769 3.4683 1.9361 0.7976 10.396
 18 4.518720e+05 4.1770 3.4657 1.9231 0.7977 10.797
 19 4.800840e+05 4.1771 3.4631 1.9087 0.7977 11.176
 20 5.083380e+05 4.1772 3.4608 1.8930 0.7978 11.533
 21 5.366340e+05 4.1772 3.4581 1.8758 0.7978 11.870
 22 5.649720e+05 4.1773 3.4559 1.8572 0.7978 12.190
 23 5.933530e+05 4.1774 3.4535 1.8371 0.7979 12.495
 24 6.217800e+05 4.1774 3.4511 1.8157 0.7979 12.783
 25 6.502530e+05 4.1775 3.4486 1.7927 0.7980 13.057
 26 6.787760e+05 4.1777 3.4465 1.7683 0.7981 13.324
 27 7.073560e+05 4.1779 3.4439 1.7424 0.7982 13.578
 28 7.358810e+05 4.1781 3.4416 1.7151 0.7984 13.818
 29 7.643460e+05 4.1784 3.4391 1.6865 0.7985 14.046
 30 7.927500e+05 4.1787 3.4368 1.6559 0.7988 14.264
 31 8.210870e+05 4.1792 3.4328 1.5948 0.7991 14.476
