#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 4.0789 3.5975 1.8000 0.7631 0.283
  2 1.869440e+04 4.0869 3.5968 1.7999 0.7652 1.212
  3 5.391870e+04 4.0976 3.5839 1.7999 0.7674 3.596
  4 9.339690e+04 4.1052 3.5511 1.7994 0.7685 6.148
  5 1.338370e+05 4.1102 3.5291 1.7968 0.7691 8.293
  6 1.745970e+05 4.1133 3.5138 1.7901 0.7695 9.980
  7 2.155090e+05 4.1153 3.5024 1.7783 0.7697 11.295
  8 2.565210e+05 4.1164 3.4930 1.7609 0.7699 12.322
  9 2.976080e+05 4.1171 3.4848 1.7382 0.7700 13.137
 10 3.387670e+05 4.1175 3.4778 1.7103 0.7701 13.800
 11 3.800060e+05 4.1178 3.4715 1.6777 0.7701 14.350
 12 4.213340e+05 4.1180 3.4657 1.6406 0.7702 14.815
 13 4.627600e+05 4.1182 3.4596 1.5993 0.7703 15.214
 14 5.042930e+05 4.1183 3.4543 1.5538 0.7704 15.563
 15 5.459370e+05 4.1185 3.4493 1.5045 0.7705 15.868
 16 5.877000e+05 4.1187 3.4440 1.4513 0.7706 16.140
 17 6.295870e+05 4.1189 3.4391 1.3855 0.7707 16.387
