#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 4.1484 3.5943 1.9000 0.7887 0.291
  2 1.434960e+04 4.1497 3.5941 1.8999 0.7906 1.008
  3 4.080740e+04 4.1524 3.5860 1.8999 0.7923 2.787
  4 7.042000e+04 4.1537 3.5583 1.8997 0.7931 4.800
  5 1.008760e+05 4.1544 3.5388 1.8987 0.7936 6.650
  6 1.316740e+05 4.1548 3.5247 1.8961 0.7939 8.235
  7 1.626550e+05 4.1552 3.5143 1.8911 0.7941 9.566
  8 1.937600e+05 4.1554 3.5060 1.8832 0.7943 10.677
  9 2.249580e+05 4.1556 3.4985 1.8721 0.7944 11.606
 10 2.562290e+05 4.1558 3.4923 1.8578 0.7945 12.386
 11 2.875600e+05 4.1558 3.4867 1.8403 0.7945 13.046
 12 3.189450e+05 4.1559 3.4817 1.8198 0.7946 13.613
 13 3.503870e+05 4.1560 3.4768 1.7963 0.7946 14.104
 14 3.818900e+05 4.1561 3.4723 1.7700 0.7947 14.535
 15 4.134590e+05 4.1562 3.4679 1.7411 0.7947 14.916
 16 4.450980e+05 4.1562 3.4638 1.7095 0.7948 15.257
 17 4.768130e+05 4.1563 3.4596 1.6754 0.7948 15.563
 18 5.086050e+05 4.1564 3.4554 1.6388 0.7949 15.840
 19 5.404800e+05 4.1565 3.4515 1.5998 0.7950 16.093
 20 5.724410e+05 4.1566 3.4480 1.5585 0.7950 16.323
 21 6.044910e+05 4.1567 3.4444 1.5149 0.7951 16.536
 22 6.366320e+05 4.1569 3.4360 1.3306 0.7952 16.771
